pua,la_name,total_11_18,estimate_14_18,number_of_schools,academies,free_schools,local_authority_maintained_schools,special_schools
Birmingham,Birmingham,70258,33592,79,52,14,13,NA
Birmingham,Dudley,19032,7776,20,15,NA,4,1
Birmingham,Sandwell,19693,8807,18,11,3,4,NA
Birmingham,Solihull,17660,8316,17,15,1,1,NA
Birmingham,Walsall,20417,9742,19,14,1,3,1
Birmingham,Wolverhampton,15681,7574,16,13,NA,3,NA
Blackburn,Blackburn with Darwen,9581,4302,9,7,1,1,NA
Bradford,Bradford,33466,15601,31,23,6,2,NA
Hull,"Kingston upon Hull, City of",16388,7067,14,13,1,NA,NA
Liverpool,Knowsley,5980,2400,6,5,NA,1,NA
Liverpool,Liverpool,26435,13196,31,15,2,12,2
,Total,254591,118373,260,183,29,44,4
